Прізвище,Ім’я,По батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Гоголь-Яновський,Венедикт,Єфремович,Чоловік,30.07.1994,Професор,село Буринь,"узвіз Алмазна, буд. 70 кв. 973, Устилуг, 71413",028 72 09,rtychyna@example.org
Бабко,Вʼячеслав,Демʼянович,Чоловік,18.10.2000,Бухгалтер,село Апостолове,"провулок Лінія 22-га, буд. 0, Тячів, 55018",410-80-81,makarshvedchenko@example.net
Зарудний,Іван,Федорович,Чоловік,07.10.1982,Швачка,село Корець,"вулиця Дорожня, буд. 91 кв. 8, Вуглегірськ, 88133",+380 15 500-82-66,artemenkoillia@example.org
Забарний,Тарас,Арсенович,Чоловік,24.11.1998,Медик,місто Деражня,"узвіз Дачний 2-й, буд. 91 кв. 18, Верхівцеве, 54192",079 840-13-24,venhrynovychemiliia@example.com
Тихий,Омелян,Микитович,Чоловік,04.01.1969,Актор,село Інкерман,"проспект Складська, буд. 59 кв. 83, Олександрівськ, 39718",+380 16 383 87 40,boryslav36@example.net
Атрощенко,Арсен,Миронович,Чоловік,16.02.1969,Кухар,селище Роздільна,"узвіз Левітана, буд. 753, Первомайськ, 63051",092 112-21-63,ruslan11@example.org
Орлик,Валерій,Пилипович,Чоловік,30.05.1951,Редактор,хутір Татарбунари,"узвіз Полуничний, буд. 648, Радивилів, 44788",095 088-27-76,ievhen80@example.net
Бабʼюк,Дмитро,Орхипович,Чоловік,21.05.2008,Журналіст,селище Первомайськ,"сквер Балтський 5-й, буд. 26, Білгород-Дністровський, 10599",021 184-25-31,mykolaiteslenko@example.com
Баклан,Михайло,Охрімович,Чоловік,01.12.2004,М'ясник,селище Вашківці,"вулиця Калинова, буд. 95 кв. 808, Федорівка, 96789",052-00-19,fhuz@example.org
Зубко,Григорій,Іванович,Чоловік,21.05.1981,Археолог,місто Горохів,"провулок Лінійна, буд. 67, Святогірськ, 26185",+380 87 862 58 78,mykolai73@example.com
Артимишин,Святослав,Яковович,Чоловік,19.08.1979,Випробувач,село Радехів,"набережна Рівний, буд. 25, Мостиська, 84432",+380 09 661-00-01,priskazabila@example.com
Ватаманюк,Герман,Степанович,Чоловік,08.05.1956,Візажист,місто Нова Одеса,"проспект Висоцького, буд. 704 кв. 630, Мирноград, 48337",+380 (98) 548-84-71,olenakonoplia@example.org
Цюцюра,Георгій,Іванович,Чоловік,31.08.1951,Стоматолог,місто Ужгород,"парк Четверта, буд. 676 кв. 0, Новоселиця, 12314",920-17-01,nestoriurchuk@example.org
Голик,Макар,Єфремович,Чоловік,19.01.1947,Геолог,хутір Калинівка ,"проспект Ф. Пішеніна, буд. 1 кв. 252, Овруч, 65189",209 72 60,shakhraiustym@example.org
Арсенич,Соломон,Прохорович,Чоловік,10.12.1963,Пілот,село Зоринськ,"парк Слобідська, буд. 8 кв. 812, Світловодськ, 38315",899-83-17,jtverdokhlib@example.net
Усик,Назар,Болеславович,Чоловік,23.11.1979,Журналіст,селище Міусинськ,"проспект 3-тя Суворовська, буд. 86 кв. 50, Виноградів, 24547",412 13 95,fedir57@example.com
Зінкевич,Семен,Устимович,Чоловік,20.04.1955,Науковець,хутір Рівне,"парк Жаботинського, буд. 998, Путивль, 17078",+380 (03) 488-86-64,iosyp37@example.org
Ващенко-Захарченко,Микита,Олексович,Чоловік,04.01.1945,Паблік рилейшнз,місто Кривий Ріг,"парк Єнісейська, буд. 21, Єнакієве, 46008",828-56-45,vertyporokholena@example.net
Щорс,Олег,Сергійович,Чоловік,25.05.2005,Провізор,хутір Севастополь,"проспект Штабний, буд. 7 кв. 5, Охтирка, 54482",+380 43 633-00-98,gerusparmen@example.net
Копитко,Дан,Леопольдович,Чоловік,17.07.1984,Журналіст,селище Привілля,"проспект Лїнія 1-ша, буд. 27, Чуднів, 74008",052 676-18-13,nestorkalenychenko@example.org
Чабан,Онисим,Гаврилович,Чоловік,19.02.1994,Хімік,хутір Тальне,"площа Восьмого березня 7-й, буд. 630 кв. 3, Приморськ (Україна), 70200",+380 92 678-18-66,skybaolha@example.com
Ємельяненко,Зорян,Єфремович,Чоловік,31.01.1941,Стиліст,село Кипуче,"площа Прорізна, буд. 0 кв. 1, Інкерман, 50372",+380 32 217-37-36,fieshchenko@example.com
Щириця,Єлисей,Павлович,Чоловік,07.10.1954,Музичний редактор,село Севастополь,"шосе Промисловий, буд. 20 кв. 9, Волноваха, 42791",+380 27 458-92-98,alina64@example.com
Зінчук,Богодар,Юхимович,Чоловік,13.11.2001,Композитор,селище Верхньодніпровськ,"набережна 1-ша Суворовська, буд. 4, Зимогір'я, 72658",+380 96 954 69 49,rostyslavakymenko@example.net
Сич,Яків,Аврелійович,Чоловік,23.04.1998,Складальник,селище Марганець ,"провулок Рибальська балка, буд. 90 кв. 4, Турка, 12799",+380 (12) 379-89-44,opanas13@example.net
Притула,Мирон,Ааронович,Чоловік,02.08.1984,Візажист,селище Південне ,"набережна Лазурний 2-й, буд. 149 кв. 268, Радивилів, 36480",+380 11 538-07-34,zakhar17@example.com
Сацюк,Богуслав,Мирославович,Чоловік,25.03.1949,Електромонтер,місто Ізяслав,"узвіз Діхтієвського Віктора, буд. 649 кв. 431, Білгород-Дністровський, 61971",615-66-29,anita11@example.net
Скорик,Павло,Демидович,Чоловік,27.08.1958,Диригент,місто Куп'янськ,"парк Лазурний 1-й, буд. 10 кв. 68, Золоте, 33733",033 705 03 55,nataliiaiesypenko@example.com
Семенченко,Олесь,Романович,Чоловік,12.06.1986,Юрист,село Богуслав,"узвіз Юхима Геллера, буд. 4, Кремінна, 06222",+380 (81) 996-95-96,andriiprokopovych@example.net
Кабалюк,Олег,Євгенійович,Чоловік,26.10.1952,Кінокритик,місто Новоград-Волинський,"провулок Головна, буд. 1 кв. 91, Гуляйполе, 80055",062 246-39-30,dmasliak@example.org
Прокопович,Миколай,Августинович,Чоловік,28.01.1950,Бухгалтер,місто Керч,"сквер Гена Іоганна, буд. 597 кв. 333, Лохвиця, 78744",+380 (19) 997-61-92,violetta08@example.com
Олійник,Орхип,Антонович,Чоловік,18.11.1990,Менеджер,село Кропивницький,"шосе Ялинковий, буд. 254, Одеса, 02468",+380 34 513-38-22,myroslav80@example.org
Ющенко,Микита,Богданович,Чоловік,11.07.1955,Письменник,хутір Богуслав,"сквер Недєліна, буд. 73 кв. 214, Турка, 37376",+380 78 061-03-69,ieromenkoiukhym@example.org
Дашкевич,Демʼян,Ааронович,Чоловік,20.10.1987,Кінорежисер,село Іловайськ,"сквер Пересипська 1-ша, буд. 7, Знам'янка, 44458",399 41 12,fsamoilenko@example.com
Гаврилишин,Лукʼян,Азарович,Чоловік,01.04.1970,Антрополог,село Сміла,"узвіз Абрикосовий, буд. 00, Чуднів, 48436",345 18 54,alla73@example.net
Сацюк,Максим,Мирославович,Чоловік,11.01.1947,Програміст,місто Костянтинівка,"шосе Сортувальна 1-ша, буд. 28 кв. 726, Рахів, 98923",+380 13 197-69-37,iukhym08@example.org
Стус,Данило,Августинович,Чоловік,12.11.1976,Мірошник,місто Вуглегірськ,"вулиця Економічний, буд. 181, Білозерське, 82134",045 666 61 21,veniiamynzinkevych@example.net
Бевзенко,Степан,Охрімович,Чоловік,16.04.1956,Перекладач,хутір Херсон,"шосе Лиманчик 2-й Лінія 1-ша, буд. 8, Миргород, 21334",+380 82 047 73 89,prokhirandreiko@example.net
Швайка,Адам,Тарасович,Чоловік,12.03.1961,Агроном,місто Могилів-Подільський,"шосе Висоцького, буд. 8, Верхньодніпровськ, 08294",+380 (64) 991-66-72,qpavlenko@example.org
Чекалюк,Пилип,Валентинович,Чоловік,05.10.1941,Електрослюсар,хутір Надвірна,"шосе Стражеска Миколи, буд. 10 кв. 1, Брянка, 14151",+380 (91) 200-44-51,orkhyp58@example.net
Гавриленко,Геннадій,Макарович,Чоловік,26.09.1955,Адвокат,місто Хоростків,"узвіз Першотравневий 3-й, буд. 6 кв. 3, Новоазовськ, 35584",+380 02 377-54-25,olifirenkooles@example.net
Петлюра,Леонід,Зиновійович,Чоловік,10.03.2000,Сантехнік,селище Феодосія,"проспект Анни Ахматової, буд. 384, Сорокине, 90575",953 06 49,arkadii00@example.net
Бабій,Аарон,Сергійович,Чоловік,01.04.1990,Письменник,місто Горлівка,"провулок Флотський 1-й, буд. 166 кв. 0, Карлівка, 65914",+380 98 290-72-31,snizhana68@example.net
Щорс,Данило,Валентинович,Чоловік,02.01.1954,Кінорежисер,хутір Марганець ,"проспект Хаджибейська дорога, буд. 9 кв. 31, Луганськ, 35667",084 839-92-40,komarbohuslav@example.org
Авраменко,Ілля,Теодорович,Чоловік,09.11.1982,Краєзнавець,хутір Деражня,"провулок 1-ша Лінія 4-ї ст. Люстдорфської дороги, буд. 621 кв. 33, Новгород-Сіверський, 64412",+380 (47) 939-14-43,barabashzakhar@example.com
Заїка,Болеслав,Адамович,Чоловік,19.09.1943,Державний службовець,село Прилуки,"шосе Тюльпанний, буд. 503, Вовчанськ, 57364",+380 (35) 876-93-42,roksolana99@example.net
Бандера,Лукʼян,Богуславович,Чоловік,27.09.1994,Мінералог,хутір Тростянець,"сквер Шевченка, буд. 216, Глиняни, 76744",712 79 49,davymukasvitlana@example.net
Ковалюк,Прохір,Яковович,Чоловік,13.12.1984,Лікар,місто Мукачево,"сквер Історія Футболу, буд. 512 кв. 72, Сєвєродонецьк, 01383",391 87 71,vira61@example.com
Павличенко,Венедикт,Сергійович,Чоловік,24.02.1962,М'ясник,село Жовква,"площа 5-та Лінія 6-й ст. Люстдорфської дороги, буд. 19, Алушта, 38606",+380 24 780-22-33,lytvynenkodanna@example.org
Редько,Опанас,Ростиславович,Чоловік,17.04.1954,Парфюмер,селище Біла Церква,"узвіз Виноградний тупик, буд. 077, Кобеляки, 02460",560-56-69,okhrimishchak@example.com
Гаєвський,Демʼян,Пилипович,Чоловік,10.01.1942,Дипломат,хутір Світловодськ,"проспект Вузький, буд. 71 кв. 240, Зеленодольськ, 70531",+380 (92) 794-12-74,konopliaboryslav@example.org
Хорішко,Гаврило,Олесьович,Чоловік,16.05.1951,Скульптор,хутір Торецьк,"парк Волна тупик, буд. 2, Славутич, 75536",+380 71 687-53-34,iustym64@example.com
Франчук,Костянтин,Азарович,Чоловік,10.01.2001,Ветеринар,село Ніжин,"набережна Сортувальна 1-ша, буд. 226 кв. 2, Апостолове, 79063",+380 05 747-55-78,hvanchenko@example.net
Скирда,Гаврило,Іванович,Чоловік,04.07.1955,Промисловець,селище Скалат,"шосе Ланжеронівський узвіз, буд. 2 кв. 821, Борислав, 44478",070 685 48 76,dmytro86@example.com
Дрозденко,Гордій,Азарович,Чоловік,03.12.1979,Педагог,місто Городище ,"вулиця Дмитрія Донського, буд. 400, Обухів, 96399",+380 87 937-49-85,udemianenko@example.org
Бабійчук,Устим,Юхимович,Чоловік,22.03.1949,Водій,місто Яремче,"шосе Локальна, буд. 078, Горохів, 96915",227 21 25,erika58@example.org
Батіг,Павло,Йосипович,Чоловік,03.03.1968,Ріелтор,селище Тиврів,"проспект Садовського, буд. 434 кв. 617, Гірське, 36359",037 537-39-14,nbabarychenko@example.net
Величко,Богуслав,Демидович,Чоловік,06.12.1984,Ювелір,місто Бахмач,"сквер Одарія, буд. 634 кв. 653, Костянтинівка, 93037",733-17-69,thabelko@example.org
Дрозденко,Євген,Алевтинович,Чоловік,31.08.1964,Журналіст,селище Привілля,"сквер Марії Демченко, буд. 971 кв. 655, Бунге , 03495",+380 98 482-92-68,aaronreva@example.org
Василечко,Зорян,Святославович,Чоловік,16.08.1982,Шериф,селище Калинівка ,"парк Проектований 4-й, буд. 358, Мирноград, 27004",055-46-88,iukhym34@example.com
Ірванець,Тарас,Симонович,Чоловік,01.02.1986,Випробувач,село Миколаїв,"вулиця Солонцюватий 1-й, буд. 91, Євпаторія, 99443",084 002-44-33,spetrenko@example.com
Бабій,Богдан,Прохорович,Чоловік,14.04.1985,Лікар,село Лохвиця,"вулиця Лінія 38-ма, буд. 268, Приморськ (Україна), 18800",011-84-49,zlatoslavatytarenko@example.com
Ващенко-Захарченко,Захар,Богодарович,Чоловік,06.01.1945,Ботанік,село Новоселиця,"провулок Газова, буд. 657, Амвросіївка, 12981",+380 99 262-02-22,avreliiizhakevych@example.net
Заїка,Богдан,Костянтинович,Чоловік,12.08.1940,Зоолог,село Світлодарськ,"парк Грузовий, буд. 706, Охтирка, 19723",608-92-44,ieromenkoonysym@example.net
Захаренко,Максим,Омелянович,Чоловік,12.06.2003,Каскадер,місто Вишневе ,"сквер Гвардійська, буд. 96, Червоносів, 78570",514 64 87,ozhuravel@example.org
Батіг,Леонід,Климентович,Чоловік,05.01.1951,Гірничий інженер,селище Токмак,"парк Цементний, буд. 182, Молочанськ, 14667",054 383-54-92,mykytadrozdenko@example.com
Гавриленко,Макар,Хомович,Чоловік,19.06.2005,Філолог,селище Сорокине,"узвіз Чорноморський 9-й, буд. 65 кв. 1, Красногорівка, 65331",290-32-19,mishchenkoiustym@example.com
Щербак,Ярема,Михайлович,Чоловік,02.11.1948,Сценарист,село Заставна,"вулиця Розкидайлівська, буд. 890, Перечин, 59759",+380 (68) 995-98-13,aiushchenko@example.com
Юхименко,Аврелій,Пантелеймонович,Чоловік,23.09.1951,Пекар,місто Болехів,"площа Дальня, буд. 7 кв. 72, Роздільна, 11306",381-66-62,oandriishyn@example.org
Авдєєнко,Олекса,Варфоломійович,Чоловік,19.03.1994,Ботанік,хутір Заставна,"площа Скидановська, буд. 31 кв. 773, Херсон, 01997",089 657-34-77,myronmamchur@example.org
Онищенко,Остап,Алевтинович,Чоловік,07.06.1979,Кінорежисер,місто Кролевець,"проспект Лазурний 4-й, буд. 36 кв. 32, Рожище, 56130",+380 (05) 336-68-74,zaietsliza@example.com
Олійник,Віталій,Максимович,Чоловік,27.05.1989,Бібліотекар,хутір Яготин,"проспект Дмитрія Донського, буд. 001 кв. 1, Рава-Руська, 44098",579 38 71,valenkoklavdiia@example.net
Стус,Аарон,Романович,Чоловік,08.11.2005,Няня,місто Білгород-Дністровський,"узвіз Академіка Векслера, буд. 981, Балаклія, 06404",830 54 84,vtovstukha@example.org
Гайдай,Марко,Іванович,Чоловік,01.10.1996,Електромонтажник,село Павлоград,"вулиця Мічуріна, буд. 936, Новоград-Волинський, 02238",+380 11 333 65 46,viashchenko@example.net
Власюк,Ігор,Болеславович,Чоловік,09.09.1953,Доцент,місто Хоростків,"вулиця Володимира Вінниченка, буд. 25, Галич, 53294",061 116-65-89,holoborodkovira@example.com
Базавлученко,Володимир,Олегович,Чоловік,05.02.1983,Біолог,місто Алчевськ,"сквер Нікітіна, буд. 2 кв. 45, Батурин, 24602",084 772-08-00,trokhym27@example.org
Іващенко,Степан,Сергійович,Чоловік,29.09.1948,Юрист,місто Ужгород,"набережна Східний, буд. 42 кв. 30, Белз, 93314",044 173 60 48,klavdiia00@example.org
Дашкевич,Мартин,Леонідович,Чоловік,24.06.1962,Прокурор,місто Устилуг,"сквер Історія Футболу, буд. 8, Горлівка, 63110",015 569 81 40,pylyp72@example.org
Безбородько,Геннадій,Миколайович,Чоловік,24.09.1949,Геофізик,місто Маріуполь,"узвіз Лютнева, буд. 487 кв. 54, Красилів, 92421",744 02 43,blysenko@example.com
Вергун,Іван,Алевтинович,Чоловік,23.10.2006,Слідчий,село Синельникове,"набережна Пересипський міст, буд. 6 кв. 259, Бершадь, 61958",670-42-07,onysymdatsenko@example.org
Колодуб,Володимир,Богуславович,Чоловік,21.11.1945,Футболіст,хутір Канів,"площа Сабанєєв, буд. 68, Березне, 96359",+380 47 549-08-05,wpustovit@example.net
Цибуленко,Андрій,Михайлович,Чоловік,14.02.1964,Модель,село Стрий,"проспект Грузинська, буд. 009, Червоноград, 06046",+380 89 758 10 92,iaroslava46@example.net
Ґоляш,Аарон,Геннадійович,Чоловік,09.12.2000,Фізик,селище Світлодарськ,"узвіз Політкаторжан, буд. 962, Петрово-Красносілля, 41021",+380 (07) 027-55-71,veniiamynaleksandrenko@example.net
Фаренюк,Роман,Адамович,Чоловік,16.09.1975,Продюсер,хутір Радомишль,"парк Пересипський узвіз, буд. 81 кв. 79, Гребінка, 29728",230-97-83,chmilleontii@example.com
Шило,Єфрем,Кирилович,Чоловік,22.01.1977,Штукатур,хутір Алмазна,"площа Чорноморський 7-й, буд. 577, Пологи , 22237",+380 (61) 574-92-77,prymachenkoiustym@example.com
Чуйко,Кирило,Леонідович,Чоловік,19.11.2005,Бухгалтер,село Горохів,"провулок Лиманчик 2-й Лінія 1-ша, буд. 66 кв. 3, Вижниця, 52939",+380 83 602 83 89,volodymyrakhorishko@example.com
Бабиченко,Альберт,Варфоломійович,Чоловік,02.08.1972,Золотар,селище Світлодарськ,"площа Одарія, буд. 783, Баштанка, 18209",016 310 65 12,uzakharenko@example.org
Алексюк,Нестор,Омелянович,Чоловік,16.12.2006,Агроном,місто Христинівка,"набережна Ніжинська, буд. 158 кв. 2, Саки , 25749",897 53 43,baidakhanna@example.com
Дубас,Вадим,Прохорович,Чоловік,27.04.1991,Біолог,селище Синельникове,"узвіз Аркаса Миколи, буд. 68, Авдіївка, 33867",+380 (09) 655-14-87,zakhar59@example.com
Венгринович,Макар,Хомович,Чоловік,12.11.1945,Візажист,хутір Курахове,"провулок Дальницьке, буд. 039 кв. 92, Мелітополь, 33906",381-77-32,zakharkalchenko@example.org
Носаченко,Гаврило,Вадимович,Чоловік,09.05.1998,Продюсер,місто Ізюм,"шосе Ключовий 2-й, буд. 70, Буринь, 14549",048 344-45-11,frankopylyp@example.net
Чередник,Макар,Хомович,Чоловік,04.06.1942,Кухар,місто Первомайськ,"шосе Вітчизняна, буд. 7 кв. 17, Роздільна, 50974",+380 64 041 90 06,drozdenkomaryna@example.net
Ярема,Алевтин,Миронович,Чоловік,21.02.1959,Дантист,селище Кам'янка (Черкаська область),"проспект Тульська, буд. 0, Мелітополь, 44510",768-99-88,bohuslav82@example.net
Ребрик,Федір,Вікторович,Чоловік,09.08.1965,Каскадер,хутір Дружба ,"шосе Наявний 1-й, буд. 28 кв. 690, Славутич, 91546",+380 12 867-86-45,viurchyshyn@example.net
Дахно,Панас,Микитович,Чоловік,15.11.1988,Інженер,селище Носівка,"сквер Східчастий 4-й, буд. 1, Федорівка, 31148",+380 32 540-17-61,datsiukhordii@example.com
Левченко,Миколай,Прохорович,Чоловік,18.10.2007,Ріелтор,місто Алмазна,"парк Мала Арнаутська, буд. 390, Сорокине, 92698",+380 58 380 82 08,hennadii31@example.org
Бабій,Владислав,Вʼячеславович,Чоловік,11.08.1956,Продюсер,місто Одеса,"площа Моторна, буд. 87 кв. 29, Хмільник, 26755",+380 45 629-55-01,hvatamaniuk@example.com
Скорик,Антон,Вʼячеславович,Чоловік,19.12.1946,Будник,хутір Щастя ,"парк Воронцовський, буд. 8 кв. 51, Чистякове, 65274",+380 29 930-54-99,frants32@example.org
Пушкар,Амвросій,Романович,Чоловік,17.10.1945,Фізик,хутір Міусинськ,"парк Сталепрокатна, буд. 131, Деражня, 91465",073 278 89 61,ustenkohryhorii@example.org
Копитко,Роман,Костянтинович,Чоловік,15.08.1951,Фольклорист,селище Новгород-Сіверський,"провулок Західний 1-й, буд. 8 кв. 022, Баштанка, 71811",977-38-50,qzhuchenko@example.net
Гунько,Варфоломій,Андрійович,Чоловік,19.04.1973,Акушер,хутір Перевальськ,"шосе Гранатний, буд. 7, Олександрія, 75725",+380 (58) 948-61-38,qmatiash@example.net
Оберемко,Роман,Несторович,Чоловік,21.11.1988,Мірошник,село Ужгород,"узвіз Варненська, буд. 15 кв. 21, Винники, 70815",+380 06 396-26-70,liubovfranchuk@example.org
Затовканюк,Феофан,Єфремович,Чоловік,10.10.1947,Паблік рилейшнз,село Хмільник,"провулок Геологічна, буд. 598 кв. 3, Саки , 78987",448 44 95,ruslanveres@example.org
Жаліло,Артем,Єлисейович,Чоловік,03.06.1953,Хореограф,село Лебедин,"парк Желябова, буд. 3 кв. 5, Гайворон, 96785",+380 18 421-04-10,lshyian@example.net
Онищенко,Вадим,Миколайович,Чоловік,06.03.1946,Музичний редактор,місто Чортків,"проспект Дальній, буд. 0 кв. 918, Першотравенськ, 10539",+380 95 608-68-20,gpylypenko@example.org
Ващенко-Захарченко,Василь,Георгійович,Чоловік,30.09.1938,Архітектор,місто Дніпро ,"площа 19-та Лінія, буд. 2, Рівне, 33759",+380 02 588-00-23,nestor66@example.org
Дуплій,Мирослав,Григорійович,Чоловік,23.09.1953,Машиніст,селище Волноваха,"парк Сухолиманна, буд. 731 кв. 1, Городок, 16518",862-03-26,prebryk@example.net
Захарченко,Назар,Стефанович,Чоловік,17.12.1997,Електротехнік,місто Жовква,"проспект Коблевська, буд. 1, Судова Вишня, 78711",+380 88 432-14-00,wtovstolis@example.com
Гавриш,Олександр,Георгійович,Чоловік,26.01.1981,Психолог,село Герца,"проспект Мацієвської, буд. 90, Сокиряни, 15773",067 050-72-79,lytvynenkoheorhii@example.org
Рудько,Віктор,Костянтинович,Чоловік,24.03.1989,Інженер,селище Міусинськ,"шосе 19-та Лінія, буд. 40, Черкаси, 52100",094 337 25 76,bazavluchenkoiukhym@example.com
Макогон,Леопольд,Данилович,Чоловік,23.08.1983,Фізик,місто Подільськ,"набережна Тарутинська, буд. 46 кв. 55, Яремче, 89740",472-98-03,tsirobaba@example.com
Вернидуб,Дан,Мартинович,Чоловік,25.06.2006,Фольклорист,хутір Чистякове,"шосе Тополина, буд. 99, Верхньодніпровськ, 41266",+380 65 223-76-85,svitlanaiermolenko@example.org
